sno,cpse,locations,value_lakhs,remark
1,Bharat Electronics Ltd (BEL),Deoria / Pan India / Old Payment / Ranchi,1417.16,Proposal Submitted/Followup by AAPC Bangalore
2,Hindustan Aeronautics Ltd (HAL),Deoria / PMDK Kerala Camps,1300.31,Proposal Submitted
3,The Singareni Collieries Company Ltd,Telangana,1000,Proposal Submitted/Followup RMC Hyd
4,HSCC,Delhi,30,Proposal Submitted/Followup
5,NBCC,Delhi,30,Proposal Submitted
6,SECI,Pan India,100,Proposal Submitted
7,Goa Shipyard Ltd,Goa,150,Proposal Submitted
8,PowerGrid,Pan India,1553.66,Proposal Submitted/Followup on 28.01.2026
9,HRIDC,Palwal,40,Proposal Sent
10,PPCL,PMDK Delhi NCR,400,Proposal Sent
11,GAIL,Madhya Pradesh,133.98,Revised Proposal Sent
12,Airport Engineering Services India Ltd,,200,Proposal to be Signed
13,Gulshan Polyols,Muzaffarnagar,67.08,Proposal Sent
14,REC,Pan India,2000,Proposal Submitted/Follow up by AAPC Fbd
15,EDCIL,,20,Denied
16,NMDC,Pan India,500,Proposal Submitted
17,NHPC,Pan India,550,Proposal Submitted
18,HONDA,Vithalapur Gujarat,50,Proposal Submitted
19,Midhani,Pan India,500,Proposal Submitted
20,ITPO,Delhi,27.95,Proposal Submitted/Followup
21,PNB,Pan India,1000,Proposal Submitted
22,NHIDCL,Pan India,300,Proposal Submitted
23,BSES Yamuna Power Ltd,Central or East Delhi,40,Proposal Submitted/Followup PMDK Paharganj
24,Gujarat Gas Ltd,Gujarat,1000,Proposal Submitted/Followup by Ujjain office
25,GSPC Bhavan,Gujarat,1000,
26,Gujarat Mining Development Corporation,Gujarat,1000,
27,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,Gujarat,1000,
28,Gujarat State Fertilizers & Chemicals Ltd,Gujarat,1000,
